PC,PQ,PR,TP,DQ,RP,BP,PD,MP,UM,EA,NO,CY,RH,LH,CC,DC,WC,LS,,
B26 2SP,10,N,6,6,6,0,0,6,0,415029,285265,E92000001,E19000001,E18000005,,E08000025,E05011137,S,,B26 2SP
B26 3SP,10,N,54,54,54,0,0,54,0,415569,284382,E92000001,E19000001,E18000005,,E08000025,E05011166,S,B26 3SP,
B27 6SP,10,N,21,21,21,0,0,21,0,412867,283785,E92000001,E19000001,E18000005,,E08000025,E05011169,S,B27 6SP,
B27 7SP,10,N,22,22,22,0,0,22,0,411086,282432,E92000001,E19000001,E18000005,,E08000025,E05011182,S,B27 7SP,
B28 0SP,10,N,26,26,26,0,0,26,0,410198,279157,E92000001,E19000001,E18000005,,E08000025,E05011124,S,B28 0SP,
B28 8SP,10,N,14,14,6,8,0,14,0,410855,282806,E92000001,E19000001,E18000005,,E08000025,E05011182,S,,B28 8SP
B29 5SP,10,N,8,8,8,0,0,8,0,402622,282981,E92000001,E19000001,E18000005,,E08000025,E05011184,S,,B29 5SP
B29 6SP,10,N,1,1,0,1,0,1,0,404051,282624,E92000001,E19000001,E18000005,,E08000025,E05011184,L,,B29 6SP
B29 7SP,10,N,46,46,46,0,0,46,0,405194,281864,E92000001,E19000001,E18000005,,E08000025,E05011128,S,B29 7SP,
B3  3SP,10,N,1,1,0,1,0,1,0,406634,287068,E92000001,E19000001,E18000005,,E08000025,E05011151,L,,B3  3SP
B30 1SP,10,N,12,12,12,0,0,12,0,403198,280322,E92000001,E19000001,E18000005,,E08000025,E05011129,S,B30 1SP,
B31 1SP,10,N,39,39,39,0,0,39,0,401293,279671,E92000001,E19000001,E18000005,,E08000025,E05011119,S,B31 1SP,
B31 2SP,10,N,18,17,10,8,0,17,1,401320,278275,E92000001,E19000001,E18000005,,E08000025,E05011158,S,,B31 2SP
B31 4SP,10,N,38,38,38,0,0,38,0,402746,276901,E92000001,E19000001,E18000005,,E08000025,E05011152,S,B31 4SP,
B31 5SP,10,N,15,15,15,0,0,15,0,400964,280749,E92000001,E19000001,E18000005,,E08000025,E05011123,S,B31 5SP,
B32 1SP,10,N,61,61,61,0,0,61,0,400555,283713,E92000001,E19000001,E18000005,,E08000025,E05011163,S,B32 1SP,
B32 3SP,10,N,6,6,6,0,0,6,0,400860,283023,E92000001,E19000001,E18000005,,E08000025,E05011123,S,,B32 3SP
B33 0SP,10,N,1,1,0,1,0,1,0,415388,286172,E92000001,E19000001,E18000005,,E08000025,E05011137,L,,B33 0SP
B33 8SP,10,N,19,19,19,0,0,19,0,412599,287046,E92000001,E19000001,E18000005,,E08000025,E05011186,S,B33 8SP,
B34 6SP,10,N,34,34,34,0,0,34,0,415006,289138,E92000001,E19000001,E18000005,,E08000025,E05011165,S,B34 6SP,
B34 7SP,10,N,13,13,13,0,0,13,0,416104,288493,E92000001,E19000001,E18000005,,E08000025,E05011165,S,B34 7SP,
B36 0SP,10,N,62,62,62,0,0,62,0,416662,289763,E92000001,E19000001,E18000005,,E08000029,E05001300,S,B36 0SP,
B36 9SP,10,N,6,6,6,0,0,6,0,415027,289784,E92000001,E19000001,E18000005,,E08000029,E05001286,S,,B36 9SP
B37 6SP,10,N,42,42,42,0,0,42,0,418890,286698,E92000001,E19000001,E18000005,,E08000029,E05001287,S,B37 6SP,
B37 7SP,10,N,13,13,13,0,0,13,0,418627,286210,E92000001,E19000001,E18000005,,E08000029,E05001287,S,B37 7SP,
B38 8SP,10,N,1,1,0,1,0,1,0,404502,279416,E92000001,E19000001,E18000005,,E08000025,E05011148,S,,B38 8SP
B42 1SP,10,N,21,21,21,0,0,21,0,406627,291686,E92000001,E19000001,E18000005,,E08000025,E05011160,S,B42 1SP,
B42 2SP,10,N,15,15,11,4,0,15,0,407123,292196,E92000001,E19000001,E18000005,,E08000025,E05011160,S,,B42 2SP
B43 7SP,10,N,12,12,12,0,0,12,0,404350,295021,E92000001,E19000001,E18000005,,E08000028,E05001266,S,B43 7SP,
B44 0SP,10,N,37,37,37,0,0,37,0,408834,294848,E92000001,E19000001,E18000005,,E08000025,E05011150,S,B44 0SP,
B44 8SP,10,N,10,10,10,0,0,10,0,407271,294078,E92000001,E19000001,E18000005,,E08000025,E05011159,S,,B44 8SP
B44 9SP,10,N,37,37,36,1,0,37,0,407558,294451,E92000001,E19000001,E18000005,,E08000025,E05011159,S,B44 9SP,
B45 8SP,10,N,62,62,62,0,0,62,0,399790,276967,E92000001,E19000001,E18000005,,E08000025,E05011164,S,B45 8SP,
B45 9SP,10,N,37,37,37,0,0,37,0,398519,277535,E92000001,E19000001,E18000005,E10000034,E07000234,E05009845,S,B45 9SP,
B46 1SP,10,N,15,15,12,3,0,15,0,417570,291148,E92000001,E19000001,E18000005,E10000031,E07000218,E05007473,S,B46 1SP,
B5  7SP,10,N,1,1,1,0,0,1,0,405596,283602,E92000001,E19000001,E18000005,,E08000025,E05011134,S,,B5  7SP
B6  6SP,10,N,17,17,12,5,0,17,0,407860,290488,E92000001,E19000001,E18000005,,E08000025,E05011121,S,B6  6SP,
B6  7SP,10,N,10,9,8,2,0,9,1,409506,290040,E92000001,E19000001,E18000005,,E08000025,E05011155,S,,B6  7SP
B60 2SP,10,N,34,34,34,0,0,34,0,397474,270418,E92000001,E19000001,E18000005,E10000034,E07000234,E05009849,S,B60 2SP,
B60 3SP,10,N,66,66,66,0,0,66,0,396616,268939,E92000001,E19000001,E18000005,E10000034,E07000234,E05009850,S,B60 3SP,
B60 9SP,10,N,1,1,0,1,0,1,0,396646,271367,E92000001,E19000001,E18000005,E10000034,E07000234,E05009840,S,,B60 9SP
B61 8SP,10,N,11,11,11,0,0,11,0,395716,271986,E92000001,E19000001,E18000005,E10000034,E07000234,E05009848,S,,B61 8SP
B62 8SP,10,N,22,22,22,0,0,22,0,397755,283486,E92000001,E19000001,E18000005,,E08000027,E05001245,S,B62 8SP,
B62 9SP,10,N,22,22,22,0,0,22,0,398783,284401,E92000001,E19000001,E18000005,,E08000027,E05001245,S,B62 9SP,
B63 2SP,10,N,31,31,31,0,0,31,0,394702,284829,E92000001,E19000001,E18000005,,E08000027,E05001242,S,B63 2SP,
B63 4SP,10,N,22,22,22,0,0,22,0,395870,283021,E92000001,E19000001,E18000005,,E08000027,E05001237,S,B63 4SP,
B65 0SP,10,N,1,1,0,1,0,1,0,398482,287430,E92000001,E19000001,E18000005,,E08000028,E05001270,L,,B65 0SP
B66 2SP,10,N,12,12,12,0,0,12,0,403154,288460,E92000001,E19000001,E18000005,,E08000028,E05001278,S,B66 2SP,
B66 4SP,10,N,42,42,42,0,0,42,0,403240,287538,E92000001,E19000001,E18000005,,E08000028,E05001278,S,B66 4SP,
B68 0SP,10,N,18,18,18,0,0,18,0,400076,285939,E92000001,E19000001,E18000005,,E08000028,E05001272,S,B68 0SP,
B68 8SP,10,N,40,40,39,1,0,40,0,400342,288941,E92000001,E19000001,E18000005,,E08000028,E05001276,S,B68 8SP,
B68 9SP,10,N,5,5,5,0,0,5,0,400712,288314,E92000001,E19000001,E18000005,,E08000028,E05001276,S,,B68 9SP
B69 1SP,10,N,38,38,38,0,0,38,0,396539,289680,E92000001,E19000001,E18000005,,E08000028,E05001280,S,B69 1SP,
B69 4SP,10,N,15,15,14,1,0,15,0,399326,288120,E92000001,E19000001,E18000005,,E08000028,E05001270,S,B69 4SP,
B69 9SP,10,N,1,1,0,1,0,1,0,398935,289686,E92000001,E19000001,E18000005,,E08000028,E05001273,S,,B69 9SP
B7  5SP,10,N,7,7,7,0,0,7,0,409517,289604,E92000001,E19000001,E18000005,,E08000025,E05011155,S,,B7  5SP
B70 0SP,10,N,30,30,30,0,0,30,0,399190,293439,E92000001,E19000001,E18000005,,E08000028,E05001282,S,B70 0SP,
B70 7SP,10,N,22,22,22,0,0,22,0,400275,290412,E92000001,E19000001,E18000005,,E08000028,E05001268,S,B70 7SP,
B70 9SP,10,N,14,14,14,0,0,14,0,399715,292249,E92000001,E19000001,E18000005,,E08000028,E05001283,S,B70 9SP,
B71 2SP,10,N,6,6,6,0,0,6,0,399953,293222,E92000001,E19000001,E18000005,,E08000028,E05001269,S,,B71 2SP
B72 1SP,10,N,51,51,51,0,0,51,0,412521,295914,E92000001,E19000001,E18000005,,E08000025,E05011178,S,B72 1SP,
B73 5SP,10,N,49,49,48,1,0,49,0,411319,294325,E92000001,E19000001,E18000005,,E08000025,E05011179,S,B73 5SP,
B73 6SP,10,N,11,11,7,4,0,11,0,408329,296301,E92000001,E19000001,E18000005,,E08000025,E05011179,S,,B73 6SP
B74 2SP,10,N,15,15,15,0,0,15,0,411027,297975,E92000001,E19000001,E18000005,,E08000025,E05011174,S,B74 2SP,
B74 3SP,10,N,34,34,34,0,0,34,0,406938,297895,E92000001,E19000001,E18000005,,E08000030,E05001318,S,B74 3SP,
B75 5SP,10,N,2,2,2,0,0,2,0,414803,301943,E92000001,E19000001,E18000005,E10000028,E07000194,E05010655,S,,B75 5SP
B75 6SP,10,N,20,20,20,0,0,20,0,411953,297533,E92000001,E19000001,E18000005,,E08000025,E05011174,S,B75 6SP,
B75 7SP,10,N,7,7,7,0,0,7,0,413595,296663,E92000001,E19000001,E18000005,,E08000025,E05011177,S,,B75 7SP
B76 1SP,10,N,25,25,25,0,0,25,0,413604,295224,E92000001,E19000001,E18000005,,E08000025,E05011176,S,B76 1SP,
B76 2SP,10,N,20,20,19,1,0,20,0,414186,295428,E92000001,E19000001,E18000005,,E08000025,E05011180,S,B76 2SP,
B78 1SP,10,N,17,17,17,0,0,17,0,426254,300093,E92000001,E19000001,E18000005,E10000031,E07000218,E05007465,S,B78 1SP,
B78 3SP,10,N,42,42,42,0,0,42,0,419379,302032,E92000001,E19000001,E18000005,E10000028,E07000194,E05010661,S,B78 3SP,
B79 7SP,10,N,2,2,1,1,0,2,0,419572,304180,E92000001,E19000001,E18000005,E10000028,E07000199,E05007069,S,,B79 7SP
B79 8SP,10,N,20,20,20,0,0,20,0,421086,305623,E92000001,E19000001,E18000005,E10000028,E07000199,E05007072,S,B79 8SP,
B8  1SP,10,N,13,13,13,0,0,13,0,410289,288630,E92000001,E19000001,E18000005,,E08000025,E05011120,S,B8  1SP,
B8  3SP,10,N,24,24,24,0,0,24,0,410344,287681,E92000001,E19000001,E18000005,,E08000025,E05011120,S,B8  3SP,
B80 7SP,10,N,3,3,3,0,0,3,0,407371,264018,E92000001,E19000001,E18000005,E10000031,E07000221,E05010205,S,,B80 7SP
B9  5SP,10,N,8,8,6,2,0,8,0,412130,286841,E92000001,E19000001,E18000005,,E08000025,E05011145,S,,B9  5SP
B90 1SP,10,N,29,29,29,0,0,29,0,411179,276178,E92000001,E19000001,E18000005,,E08000029,E05001285,S,B90 1SP,
B90 2SP,10,N,7,7,7,0,0,7,0,410912,278551,E92000001,E19000001,E18000005,,E08000029,E05001297,S,,B90 2SP
B90 3SP,10,N,12,12,12,0,0,12,0,412579,280247,E92000001,E19000001,E18000005,,E08000029,E05001296,S,B90 3SP,
B90 4SP,10,N,11,11,11,0,0,11,0,412909,276138,E92000001,E19000001,E18000005,,E08000029,E05001285,S,,B90 4SP
B91 1SP,10,N,31,31,31,0,0,31,0,414016,279078,E92000001,E19000001,E18000005,,E08000029,E05001295,S,B91 1SP,
B91 2SP,10,N,9,9,9,0,0,9,0,416486,280586,E92000001,E19000001,E18000005,,E08000029,E05001299,S,,B91 2SP
B91 9SP,10,N,1,1,0,1,0,1,0,415190,279283,E92000001,E19000001,E18000005,,E08000029,E05001295,S,,B91 9SP
B92 8SP,10,N,17,17,17,0,0,17,0,414508,282387,E92000001,E19000001,E18000005,,E08000029,E05001292,S,B92 8SP,
B93 8SP,10,N,49,49,49,0,0,49,0,416279,275526,E92000001,E19000001,E18000005,,E08000029,E05001288,S,B93 8SP,
B96 6SP,10,N,8,8,8,0,0,8,0,401351,259224,E92000001,E19000001,E18000005,E10000034,E07000238,E05007917,S,,B96 6SP
B97 4SP,10,N,43,43,37,6,0,43,0,403063,267514,E92000001,E19000001,E18000005,E10000034,E07000236,E05007871,S,B97 4SP,
B97 5SP,10,N,4,4,4,0,0,4,0,400199,268839,E92000001,E19000001,E18000005,E10000034,E07000234,E05009850,S,,B97 5SP
B97 6SP,10,N,17,17,17,0,0,17,0,403013,268257,E92000001,E19000001,E18000005,E10000034,E07000236,E05007870,S,B97 6SP,
B97 9SP,10,N,1,1,0,1,0,1,0,404311,267449,E92000001,E19000001,E18000005,E10000034,E07000236,E05007868,S,,B97 9SP
E1  4SP,10,N,9,9,9,0,0,9,0,535999,182059,E92000001,E19000003,E18000007,,E09000030,E05009329,S,,E1  4SP
E11 1SP,10,N,48,48,48,0,0,48,0,539817,189151,E92000001,E19000003,E18000007,,E09000026,E05011255,S,E11 1SP,
E11 2SP,10,N,6,6,6,0,0,6,0,540196,188527,E92000001,E19000003,E18000007,,E09000026,E05011255,S,,E11 2SP
E12 6SP,10,N,30,30,30,0,0,30,0,542135,184677,E92000001,E19000003,E18000007,,E09000025,E05000481,S,E12 6SP,
E13 0SP,10,N,17,17,17,0,0,17,0,541143,183972,E92000001,E19000003,E18000007,,E09000025,E05000486,S,E13 0SP,
E13 8SP,10,N,1,1,0,1,0,1,0,541522,182142,E92000001,E19000003,E18000007,,E09000025,E05000490,S,,E13 8SP
E14 0SP,10,N,39,39,39,0,0,39,0,538159,181631,E92000001,E19000003,E18000007,,E09000030,E05009325,S,E14 0SP,
E14 3SP,10,N,88,88,88,0,0,88,0,537176,178867,E92000001,E19000003,E18000007,,E09000030,E05009324,S,E14 3SP,
E14 5SP,10,N,1,1,1,0,0,1,0,538252,180560,E92000001,E19000003,E18000007,,E09000030,E05009318,S,,E14 5SP
E14 8SP,10,N,38,38,38,0,0,38,0,537219,179606,E92000001,E19000003,E18000007,,E09000030,E05009323,S,E14 8SP,
E14 9SP,10,N,1,1,0,1,0,1,0,537570,179886,E92000001,E19000003,E18000007,,E09000030,E05009323,L,,E14 9SP
E15 1SP,10,N,29,29,28,1,0,29,0,539652,185459,E92000001,E19000003,E18000007,,E09000025,E05000483,S,E15 1SP,
E15 2SP,10,N,84,84,35,49,0,84,0,538786,183942,E92000001,E19000003,E18000007,,E09000025,E05000492,S,E15 2SP,
E16 1SP,10,N,9,9,9,0,0,9,0,540442,180382,E92000001,E19000003,E18000007,,E09000025,E05000491,S,,E16 1SP
E16 2SP,10,N,66,66,66,0,0,66,0,544004,180057,E92000001,E19000003,E18000007,,E09000025,E05000491,S,E16 2SP,
E16 3SP,10,N,18,18,18,0,0,18,0,541726,181932,E92000001,E19000003,E18000007,,E09000025,E05000479,S,E16 3SP,
E16 4SP,10,N,5,5,0,5,0,5,0,539013,182066,E92000001,E19000003,E18000007,,E09000025,E05000477,S,,E16 4SP
E17 4SP,10,N,34,34,34,0,0,34,0,537370,189447,E92000001,E19000003,E18000007,,E09000031,E05000601,S,E17 4SP,
E17 5SP,10,N,20,20,20,0,0,20,0,535929,191002,E92000001,E19000003,E18000007,,E09000031,E05000600,S,E17 5SP,
E1W 3SP,10,N,6,6,5,1,0,6,0,535141,180359,E92000001,E19000003,E18000007,,E09000030,E05009330,S,,E1W 3SP
E2  0SP,10,N,21,21,21,0,0,21,0,535871,182988,E92000001,E19000003,E18000007,,E09000030,E05009317,S,E2  0SP,
E2  9SP,10,N,17,17,17,0,0,17,0,534586,183497,E92000001,E19000003,E18000007,,E09000030,E05009331,S,E2  9SP,
E3  2SP,10,N,33,33,29,4,0,33,0,537722,183052,E92000001,E19000003,E18000007,,E09000030,E05009319,S,E3  2SP,
E3  4SP,10,N,1,1,0,1,0,1,0,536494,182486,E92000001,E19000003,E18000007,,E09000030,E05009327,L,,E3  4SP
E3  5SP,10,N,51,51,51,0,0,51,0,535855,183334,E92000001,E19000003,E18000007,,E09000030,E05009320,S,E3  5SP,
E4  6SP,10,N,54,54,54,0,0,54,0,537579,192972,E92000001,E19000003,E18000007,,E09000031,E05000602,S,E4  6SP,
E4  7SP,10,N,61,61,61,0,0,61,0,537374,194161,E92000001,E19000003,E18000007,,E09000031,E05000594,S,E4  7SP,
E4  8SP,10,N,2,2,0,2,0,2,0,537416,191163,E92000001,E19000003,E18000007,,E09000031,E05000607,S,,E4  8SP
E4  9SP,10,N,9,9,9,0,0,9,0,538315,193317,E92000001,E19000003,E18000007,,E09000031,E05000594,S,,E4  9SP
E5  8SP,10,N,6,6,5,1,0,6,0,534470,186764,E92000001,E19000003,E18000007,,E09000012,E05009368,S,,E5  8SP
E5  9SP,10,N,51,51,50,1,0,51,0,535313,186968,E92000001,E19000003,E18000007,,E09000012,E05009380,S,E5  9SP,
E6  2SP,10,N,29,29,28,1,0,29,0,543170,183569,E92000001,E19000003,E18000007,,E09000025,E05000493,S,E6  2SP,
E6  3SP,10,N,35,35,35,0,0,35,0,542494,182158,E92000001,E19000003,E18000007,,E09000025,E05000482,S,E6  3SP,
E6  5SP,10,N,4,4,4,0,0,4,0,542050,181426,E92000001,E19000003,E18000007,,E09000025,E05000479,S,,E6  5SP
E6  9SP,10,N,1,1,0,1,0,1,0,542650,183541,E92000001,E19000003,E18000007,,E09000025,E05000480,S,,E6  9SP
E8  3SP,10,N,14,14,14,0,0,14,0,534740,183891,E92000001,E19000003,E18000007,,E09000012,E05009381,S,E8  3SP,
E9  5SP,10,N,16,16,16,0,0,16,0,535906,184840,E92000001,E19000003,E18000007,,E09000012,E05009374,S,E9  5SP,
E9  6SP,10,N,37,37,37,0,0,37,0,535342,185321,E92000001,E19000003,E18000007,,E09000012,E05009376,S,E9  6SP,
E98 1SP,10,N,1,1,0,1,0,1,0,534427,180564,E92000001,E19000003,E18000007,,E09000030,E05009330,L,,E98 1SP
G1  4SP,10,N,1,1,0,1,0,1,0,259245,664649,S92000003,,S08000031,,S12000049,S13002976,S,,G1  4SP
G11 7SP,10,N,48,48,48,0,0,48,0,255238,666742,S92000003,,S08000031,,S12000049,S13002978,S,G11 7SP,
G12 0SP,10,N,5,5,5,0,0,5,0,256659,667964,S92000003,,S08000031,,S12000049,S13002989,S,,G12 0SP
G12 8SP,10,N,17,17,15,2,0,17,0,256592,666936,S92000003,,S08000031,,S12000049,S13002977,S,G12 8SP,
G12 9SP,10,N,32,32,32,0,0,32,0,255515,667549,S92000003,,S08000031,,S12000049,S13002989,S,G12 9SP,
G13 1SP,10,N,1,1,0,1,0,1,0,254115,668212,S92000003,,S08000031,,S12000049,S13002978,L,,G13 1SP
G13 2SP,10,N,3,3,2,1,0,3,0,253822,669334,S92000003,,S08000031,,S12000049,S13002980,S,,G13 2SP
G13 3SP,10,N,20,20,20,0,0,20,0,252228,668939,S92000003,,S08000031,,S12000049,S13002979,S,G13 3SP,
G15 6SP,10,N,16,16,16,0,0,16,0,251965,670258,S92000003,,S08000031,,S12000049,S13002980,S,G15 6SP,
G15 7SP,10,N,2,2,1,1,0,2,0,252580,671397,S92000003,,S08000031,,S12000049,S13002980,S,,G15 7SP
G2  5SP,10,N,1,1,0,1,0,1,0,258615,665535,S92000003,,S08000031,,S12000049,S13002976,L,,G2  5SP
G2  9SP,10,N,1,1,0,1,0,1,0,259361,665376,S92000003,,S08000031,,S12000049,S13002976,S,,G2  9SP
G20 0SP,10,N,15,15,1,14,0,15,0,255437,670001,S92000003,,S08000031,,S12000049,S13002981,S,,G20 0SP
G20 6SP,10,N,11,11,11,0,0,11,0,257877,667578,S92000003,,S08000031,,S12000049,S13002977,S,,G20 6SP
G21 3SP,10,N,6,6,6,0,0,6,0,262470,669093,S92000003,,S08000031,,S12000049,S13002983,S,,G21 3SP
G22 6SP,10,N,2,2,2,0,0,2,0,259163,668663,S92000003,,S08000031,,S12000049,S13002982,S,,G22 6SP
G3  6SP,10,N,47,47,46,1,0,47,0,258610,666175,S92000003,,S08000031,,S12000049,S13002976,S,G3  6SP,
G3  7SP,10,N,1,1,0,1,0,1,0,257311,665998,S92000003,,S08000031,,S12000049,S13002976,S,,G3  7SP
G31 2SP,10,N,1,1,1,0,0,1,0,261544,665255,S92000003,,S08000031,,S12000049,S13002988,S,,G31 2SP
G32 0SP,10,N,27,27,26,1,0,27,0,265941,663531,S92000003,,S08000031,,S12000049,S13002985,S,G32 0SP,
G32 7SP,10,N,15,15,15,0,0,15,0,264532,663556,S92000003,,S08000031,,S12000049,S13002985,S,G32 7SP,
G32 8SP,30,N,1,0,0,1,0,0,1,263749,662701,S92000003,,S08000031,,S12000049,S13002985,S,,G32 8SP
G33 1SP,10,N,8,8,8,0,0,8,0,262998,669326,S92000003,,S08000031,,S12000049,S13002983,S,,G33 1SP
G33 2SP,10,N,24,24,24,0,0,24,0,263607,665914,S92000003,,S08000031,,S12000049,S13002984,S,G33 2SP,
G33 4SP,10,N,44,44,44,0,0,44,0,266625,664621,S92000003,,S08000031,,S12000049,S13002984,S,G33 4SP,
G4  9SP,10,N,1,1,0,1,0,1,0,258657,667195,S92000003,,S08000031,,S12000049,S13002982,S,,G4  9SP
G41 2SP,10,N,8,8,4,4,0,8,0,257988,663436,S92000003,,S08000031,,S12000049,S13002972,S,,G41 2SP
G41 3SP,10,N,19,19,19,0,0,19,0,256398,661965,S92000003,,S08000031,,S12000049,S13002972,S,G41 3SP,
G42 8SP,10,N,33,33,33,0,0,33,0,258851,662552,S92000003,,S08000031,,S12000049,S13002974,S,G42 8SP,
G43 2SP,10,N,16,16,16,0,0,16,0,257135,660260,S92000003,,S08000031,,S12000049,S13002968,S,G43 2SP,
G44 3SP,10,N,4,4,4,0,0,4,0,257672,659011,S92000003,,S08000031,,S12000011,S13002917,S,,G44 3SP
G44 4SP,10,N,45,45,45,0,0,45,0,258665,660729,S92000003,,S08000031,,S12000049,S13002973,S,G44 4SP,
G44 5SP,10,N,14,14,14,0,0,14,0,259049,660660,S92000003,,S08000031,,S12000049,S13002967,S,G44 5SP,
G45 9SP,10,N,4,4,2,2,0,4,0,258440,658840,S92000003,,S08000031,,S12000049,S13002967,S,,G45 9SP
G46 6SP,10,N,3,3,3,0,0,3,0,255235,657163,S92000003,,S08000031,,S12000011,S13002918,S,,G46 6SP
G46 7SP,10,N,10,10,10,0,0,10,0,254736,658997,S92000003,,S08000031,,S12000011,S13002916,S,,G46 7SP
G46 9SP,10,N,1,1,0,1,0,1,0,255793,658444,S92000003,,S08000031,,S12000011,S13002916,S,,G46 9SP
G5  9SP,10,N,9,9,7,2,0,9,0,258547,663809,S92000003,,S08000031,,S12000049,S13002974,S,,G5  9SP
G51 1SP,10,N,34,34,34,0,0,34,0,256216,664541,S92000003,,S08000031,,S12000049,S13002971,S,G51 1SP,
G51 4SP,10,N,5,4,2,3,0,4,1,253217,666273,S92000003,,S08000031,,S12000049,S13002971,S,,G51 4SP
G52 1SP,10,N,22,22,13,9,0,22,0,254067,663946,S92000003,,S08000031,,S12000049,S13002972,S,G52 1SP,
G53 5SP,10,N,7,7,7,0,0,7,0,252453,662403,S92000003,,S08000031,,S12000049,S13002969,S,,G53 5SP
G53 6SP,10,N,16,16,16,0,0,16,0,252423,660787,S92000003,,S08000031,,S12000049,S13002969,S,G53 6SP,
G53 7SP,10,N,4,4,0,4,0,4,0,252991,659984,S92000003,,S08000031,,S12000049,S13002969,S,,G53 7SP
G61 2SP,10,N,1,1,0,1,0,1,0,254306,672082,S92000003,,S08000031,,S12000045,S13002902,S,,G61 2SP
G61 4SP,10,N,3,3,0,3,0,3,0,253378,673175,S92000003,,S08000031,,S12000045,S13002902,S,,G61 4SP
G62 7SP,10,N,6,6,6,0,0,6,0,255158,674548,S92000003,,S08000031,,S12000045,S13002901,S,,G62 7SP
G64 1SP,10,N,18,18,18,0,0,18,0,261561,669907,S92000003,,S08000031,,S12000045,S13002905,S,G64 1SP,
G65 0SP,10,N,1,1,0,1,0,1,0,271662,678112,S92000003,,S08000032,,S12000050,S13003042,S,,G65 0SP
G65 9SP,10,N,24,24,24,0,0,24,0,269666,675037,S92000003,,S08000031,,S12000045,S13002907,S,G65 9SP,
G66 3SP,10,N,27,27,27,0,0,27,0,267331,674244,S92000003,,S08000031,,S12000045,S13002907,S,G66 3SP,
G66 4SP,10,N,7,7,7,0,0,7,0,264114,671813,S92000003,,S08000031,,S12000045,S13002906,S,,G66 4SP
