,Postcode 1,Postcode 2,Postcode 3,Date Introduced,User Type,Easting,Northing,Positional Quality,County Code,County Name,Local Authority Code,Local Authority Name,Ward Code,Ward Name,Country Code,Country Name,Region Code,Region Name,Parliamentary Constituency Code,Parliamentary Constituency Name,European Electoral Region Code,European Electoral Region Name,Primary Care Trust Code,Primary Care Trust Name,Lower Super Output Area Code,Lower Super Output Area Name,Middle Super Output Area Code,Middle Super Output Area Name,Output Area Classification Code,Output Area Classification Name,Longitude,Latitude,Spatial Accuracy,Last Uploaded,Location,Socrata ID,post
2012,SP109FN,SP10 9FN,SP10 9FN,Aug-10,1,436302,145363,1,E10000014,Hampshire,E07000093,Test Valley,E05004648,St Mary's,E92000001,England,E12000008,South East,E14000857,North West Hampshire,E15000008,South East,E16000133,Hampshire,E01023204,,E02004817,,5B2,Urbanites;Ageing urban living;Communal retirement,-1.48174,51.206329,Postcode Level,04/01/2018,"(51.206329, -1.48174)",1461736,sp109fn
2149,SP110BZ,SP11 0BZ,SP11 0BZ,Jan-92,0,437897,153803,1,E10000014,Hampshire,E07000093,Test Valley,E05004634,Bourne Valley,E92000001,England,E12000008,South East,E14000857,North West Hampshire,E15000008,South East,E16000133,Hampshire,E01023165,,E02004814,,1A2,Rural residents;Farming communities;Established farming communities,-1.458019,51.282113,Postcode Level,04/01/2018,"(51.282113, -1.458019)",1461823,sp110bz
2151,SP103DT,SP10 3DT,SP10 3DT,Jan-80,0,435106,146078,1,E10000014,Hampshire,E07000093,Test Valley,E05004641,Harroway,E92000001,England,E12000008,South East,E14000857,North West Hampshire,E15000008,South East,E16000133,Hampshire,E01023179,,E02004817,,8C3,Hard-pressed living;Hard pressed ageing workers;Renting hard-pressed workers,-1.49879,51.212832,Postcode Level,04/01/2018,"(51.212832, -1.49879)",1461224,sp103dt
2405,SP5 4DX,SP5  4DX,SP5 4DX,Jan-80,0,416131,128303,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008360,Downton and Ebble Valley,E92000001,England,E12000009,South West,E14000912,Salisbury,E15000009,South West,E16000140,Wiltshire,E01032000,,E02006672,,5B2,Urbanites;Ageing urban living;Communal retirement,-1.77123,51.053848,Postcode Level,04/01/2018,"(51.053848, -1.77123)",1466264,sp54dx
2656,SP2 8BW,SP2  8BW,SP2 8BW,Jun-10,0,414886,128285,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008388,Salisbury Harnham,E92000001,England,E12000009,South West,E14000912,Salisbury,E15000009,South West,E16000140,Wiltshire,E01032007,,E02006674,,5A2,Urbanites;Urban professionals and families;Multi-ethnic professionals with families,-1.788994,51.053719,Postcode Level,04/01/2018,"(51.053719, -1.788994)",1463505,sp28bw
2977,SP1 3PZ,SP1  3PZ,SP1 3PZ,Jan-80,0,414722,131875,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008390,Salisbury St Francis and Stratford,E92000001,England,E12000009,South West,E14000912,Salisbury,E15000009,South West,E16000140,Wiltshire,E01032017,,E02006666,,6B4,Suburbanites;Semi-detached suburbia;Older workers and retirement,-1.791188,51.086005,Postcode Level,04/01/2018,"(51.086005, -1.791188)",1460681,sp13pz
3188,SP7 0HN,SP7  0HN,SP7 0HN,Jan-80,0,394318,122207,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008363,Fovant and Chalke Valley,E92000001,England,E12000009,South West,E14000954,South West Wiltshire,E15000009,South West,E16000140,Wiltshire,E01031991,,E02006676,,1C1,Rural residents;Ageing rural dwellers;Rural employment and retirees,-2.082346,50.999225,Postcode Level,04/01/2018,"(50.999225, -2.082346)",1467243,sp70hn
3493,SP5 5SS,SP5  5SS,SP5 5SS,Dec-99,1,413857,130232,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008393,Salisbury St Paul's,E92000001,England,E12000009,South West,E14000912,Salisbury,E15000009,South West,E16000140,Wiltshire,E01032024,,E02006670,,5A3,Urbanites;Urban professionals and families;Families in terraces and flats,-1.803601,51.071252,Postcode Level,04/01/2018,"(51.071252, -1.803601)",1466561,sp55ss
3655,SP1 2PD,SP1  2PD,SP1 2PD,Jan-80,1,414284,129761,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008392,Salisbury St Martin's and Cathedral,E92000001,England,E12000009,South West,E14000912,Salisbury,E15000009,South West,E16000140,Wiltshire,E01032022,,E02006673,,5B2,Urbanites;Ageing urban living;Communal retirement,-1.797525,51.067007,Postcode Level,04/01/2018,"(51.067007, -1.797525)",1460407,sp12pd
3800,SP9 7JD,SP9  7JD,SP9 7JD,Jan-80,0,422876,149569,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008399,Tidworth,E92000001,England,E12000009,South West,E14000665,Devizes,E15000009,South West,E16000140,Wiltshire,E01031879,,E02006643,,4A2,Multicultural metropolitans;Rented family living;Private renting new arrivals,-1.673654,51.244841,Postcode Level,04/01/2018,"(51.244841, -1.673654)",1468423,sp97jd
3908,SP2 8LF,SP2  8LF,SP2 8LF,Jan-80,0,413738,129097,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008392,Salisbury St Martin's and Cathedral,E92000001,England,E12000009,South West,E14000912,Salisbury,E15000009,South West,E16000140,Wiltshire,E01032009,,E02006673,,5B3,Urbanites;Ageing urban living;Self-sufficient retirement,-1.805342,51.061049,Postcode Level,04/01/2018,"(51.061049, -1.805342)",1463601,sp28lf
4208,SP110PA,SP11 0PA,SP11 0PA,Jan-80,0,441253,154886,1,E10000014,Hampshire,E07000084,Basingstoke and Deane,E05004436,"Burghclere, Highclere and St Mary Bourne",E92000001,England,E12000008,South East,E14000857,North West Hampshire,E15000008,South East,E16000133,Hampshire,E01022514,,E02004694,,1B2,Rural residents;Rural tenants;Rural white-collar workers,-1.409779,51.291619,Postcode Level,04/01/2018,"(51.291619, -1.409779)",1461925,sp110pa
4468,SP102PE,SP10 2PE,SP10 2PE,Jan-80,0,436730,145344,1,E10000014,Hampshire,E07000093,Test Valley,E05004651,Winton,E92000001,England,E12000008,South East,E14000857,North West Hampshire,E15000008,South East,E16000133,Hampshire,E01023216,,E02004819,,5B2,Urbanites;Ageing urban living;Communal retirement,-1.475603,51.206126,Postcode Level,04/01/2018,"(51.206126, -1.475603)",1461107,sp102pe
4474,SP105BY,SP10 5BY,SP10 5BY,Jan-80,0,436930,147036,1,E10000014,Hampshire,E07000093,Test Valley,E05004629,Alamein,E92000001,England,E12000008,South East,E14000857,North West Hampshire,E15000008,South East,E16000133,Hampshire,E01023153,,E02004815,,5A1,Urbanites;Urban professionals and families;White professionals,-1.47258,51.221331,Postcode Level,04/01/2018,"(51.221331, -1.47258)",1461612,sp105by
4686,SP1 2RT,SP1  2RT,SP1 2RT,Jan-80,0,415652,129830,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008392,Salisbury St Martin's and Cathedral,E92000001,England,E12000009,South West,E14000912,Salisbury,E15000009,South West,E16000140,Wiltshire,E01032021,,E02006671,,6A4,Suburbanites;Suburban achievers;Ageing in suburbia,-1.777999,51.067592,Postcode Level,04/01/2018,"(51.067592, -1.777999)",1460439,sp12rt
4899,SP116FU,SP11 6FU,SP11 6FU,Nov-15,0,437029,147746,1,E10000014,Hampshire,E07000093,Test Valley,E05004629,Alamein,E92000001,England,E12000008,South East,E14000857,North West Hampshire,E15000008,South East,E16000133,Hampshire,E01023155,,E02004816,,5A3,Urbanites;Urban professionals and families;Families in terraces and flats,-1.471076,51.227705,Postcode Level,04/01/2018,"(51.227705, -1.471076)",1462090,sp116fu
5038,SP117JL,SP11 7JL,SP11 7JL,Jan-80,0,439294,141257,1,E10000014,Hampshire,E07000093,Test Valley,E05004640,Harewood,E92000001,England,E12000008,South East,E14000901,Romsey and Southampton North,E15000008,South East,E16000133,Hampshire,E01023178,,E02004821,,1B2,Rural residents;Rural tenants;Rural white-collar workers,-1.439362,51.169212,Postcode Level,04/01/2018,"(51.169212, -1.439362)",1462430,sp117jl
5072,SP103PJ,SP10 3PJ,SP10 3PJ,Jan-80,0,434745,144959,1,E10000014,Hampshire,E07000093,Test Valley,E05004643,Millway,E92000001,England,E12000008,South East,E14000857,North West Hampshire,E15000008,South East,E16000133,Hampshire,E01023186,,E02004818,,6A4,Suburbanites;Suburban achievers;Ageing in suburbia,-1.504066,51.202793,Postcode Level,04/01/2018,"(51.202793, -1.504066)",1461354,sp103pj
5135,SP3 6EJ,SP3  6EJ,SP3 6EJ,Jan-80,0,391416,132570,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008380,Nadder and East Knoyle,E92000001,England,E12000009,South West,E14000954,South West Wiltshire,E15000009,South West,E16000140,Wiltshire,E01032010,,E02006665,,1A2,Rural residents;Farming communities;Established farming communities,-2.12395,51.092375,Postcode Level,04/01/2018,"(51.092375, -2.12395)",1464351,sp36ej
5145,SP118PY,SP11 8PY,SP11 8PY,Jan-80,0,427486,143575,1,E10000014,Hampshire,E07000093,Test Valley,E05004631,Amport,E92000001,England,E12000008,South East,E14000857,North West Hampshire,E15000008,South East,E16000133,Hampshire,E01023159,,E02004820,,1B2,Rural residents;Rural tenants;Rural white-collar workers,-1.607885,51.190791,Postcode Level,04/01/2018,"(51.190791, -1.607885)",1462702,sp118py
5187,SP6 2QW,SP6  2QW,SP6 2QW,Jan-80,0,416827,112315,1,E10000014,Hampshire,E07000091,New Forest,E05008934,Forest North West,E92000001,England,E12000008,South East,E14000828,New Forest West,E15000008,South East,E16000133,Hampshire,E01023025,,E02004779,,1A2,Rural residents;Farming communities;Established farming communities,-1.762036,50.910061,Postcode Level,04/01/2018,"(50.910061, -1.762036)",1466947,sp62qw
5252,SP116EN,SP11 6EN,SP11 6EN,Jan-80,0,441472,150836,1,E10000014,Hampshire,E07000084,Basingstoke and Deane,E05004436,"Burghclere, Highclere and St Mary Bourne",E92000001,England,E12000008,South East,E14000857,North West Hampshire,E15000008,South East,E16000133,Hampshire,E01022514,,E02004694,,1B2,Rural residents;Rural tenants;Rural white-collar workers,-1.407107,51.255188,Postcode Level,04/01/2018,"(51.255188, -1.407107)",1462064,sp116en
5669,SP7 9EY,SP7  9EY,SP7 9EY,Jan-80,0,390449,122611,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008401,Tisbury,E92000001,England,E12000009,South West,E14000954,South West Wiltshire,E15000009,South West,E16000140,Wiltshire,E01031991,,E02006676,,8A2,Hard-pressed living;Industrious communities;Industrious hardship,-2.137492,51.002806,Postcode Level,04/01/2018,"(51.002806, -2.137492)",1467669,sp79ey
5683,SP3 6QL,SP3  6QL,SP3 6QL,Jan-80,0,392403,132199,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008380,Nadder and East Knoyle,E92000001,England,E12000009,South West,E14000954,South West Wiltshire,E15000009,South West,E16000140,Wiltshire,E01032010,,E02006665,,1A3,Rural residents;Farming communities;Agricultural communities,-2.109848,51.089053,Postcode Level,04/01/2018,"(51.089053, -2.109848)",1464471,sp36ql
5922,SP3 5JE,SP3  5JE,SP3 5JE,Jan-80,0,401283,128535,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008363,Fovant and Chalke Valley,E92000001,England,E12000009,South West,E14000954,South West Wiltshire,E15000009,South West,E16000140,Wiltshire,E01032031,,E02006676,,1A2,Rural residents;Farming communities;Established farming communities,-1.983063,51.056149,Postcode Level,04/01/2018,"(51.056149, -1.983063)",1464162,sp35je
5993,SP7 0QE,SP7  0QE,SP7 0QE,Jan-80,0,382299,121080,1,E10000009,Dorset,E07000050,North Dorset,E05010014,The Stours & Marnhull,E92000001,England,E12000009,South West,E14000839,North Dorset,E15000009,South West,E16000142,Dorset,E01020462,,E02004256,,1A2,Rural residents;Farming communities;Established farming communities,-2.253566,50.988845,Postcode Level,04/01/2018,"(50.988845, -2.253566)",1467325,sp70qe
6123,SP6 3HL,SP6  3HL,SP6 3HL,Jan-80,0,411490,115798,1,E10000014,Hampshire,E07000091,New Forest,E05008932,Downlands and Forest,E92000001,England,E12000008,South East,E14000828,New Forest West,E15000008,South East,E16000133,Hampshire,E01023011,,E02004779,,1A3,Rural residents;Farming communities;Agricultural communities,-1.837836,50.941511,Postcode Level,04/01/2018,"(50.941511, -1.837836)",1467049,sp63hl
6245,SP110LU,SP11 0LU,SP11 0LU,Jan-80,0,440319,151763,1,E10000014,Hampshire,E07000084,Basingstoke and Deane,E05004436,"Burghclere, Highclere and St Mary Bourne",E92000001,England,E12000008,South East,E14000857,North West Hampshire,E15000008,South East,E16000133,Hampshire,E01022514,,E02004694,,1A2,Rural residents;Farming communities;Established farming communities,-1.423524,51.263605,Postcode Level,04/01/2018,"(51.263605, -1.423524)",1461903,sp110lu
6327,SP5 3LJ,SP5  3LJ,SP5 3LJ,Oct-85,0,418053,120935,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008360,Downton and Ebble Valley,E92000001,England,E12000009,South West,E14000912,Salisbury,E15000009,South West,E16000140,Wiltshire,E01031993,,E02006677,,8C1,Hard-pressed living;Hard pressed ageing workers;Ageing industrious workers,-1.744173,50.987537,Postcode Level,04/01/2018,"(50.987537, -1.744173)",1466109,sp53lj
6429,SP102RF,SP10 2RF,SP10 2RF,Jan-93,0,436838,145407,1,E10000014,Hampshire,E07000093,Test Valley,E05004648,St Mary's,E92000001,England,E12000008,South East,E14000857,North West Hampshire,E15000008,South East,E16000133,Hampshire,E01023202,,E02004816,,2C1,Cosmopolitans;Comfortable cosmopolitan;Migrant families,-1.474064,51.20669,Postcode Level,04/01/2018,"(51.20669, -1.474064)",1461144,sp102rf
6452,SP119PJ,SP11 9PJ,SP11 9PJ,Jan-80,0,427968,150547,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008368,Ludgershall and Perham Down,E92000001,England,E12000009,South West,E14000665,Devizes,E15000009,South West,E16000140,Wiltshire,E01031860,,E02006643,,6B4,Suburbanites;Semi-detached suburbia;Older workers and retirement,-1.60063,51.253409,Postcode Level,04/01/2018,"(51.253409, -1.60063)",1462890,sp119pj
6498,SP119DS,SP11 9DS,SP11 9DS,Jan-80,0,430195,152721,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008397,The Collingbournes and Netheravon,E92000001,England,E12000009,South West,E14000665,Devizes,E15000009,South West,E16000140,Wiltshire,E01031877,,E02006640,,1A2,Rural residents;Farming communities;Established farming communities,-1.568537,51.272843,Postcode Level,04/01/2018,"(51.272843, -1.568537)",1462765,sp119ds
6607,SP3 6AY,SP3  6AY,SP3 6AY,Jun-02,0,394460,129172,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008401,Tisbury,E92000001,England,E12000009,South West,E14000954,South West Wiltshire,E15000009,South West,E16000140,Wiltshire,E01032030,,E02006676,,5B2,Urbanites;Ageing urban living;Communal retirement,-2.080431,51.061857,Postcode Level,04/01/2018,"(51.061857, -2.080431)",1464305,sp36ay
6788,SP4 8LG,SP4  8LG,SP4 8LG,Sep-81,0,415442,147368,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008337,"Bulford, Allington and Figheldean",E92000001,England,E12000009,South West,E14000665,Devizes,E15000009,South West,E16000140,Wiltshire,E01032696,,E02006661,,6A4,Suburbanites;Suburban achievers;Ageing in suburbia,-1.780249,51.225298,Postcode Level,04/01/2018,"(51.225298, -1.780249)",1465294,sp48lg
6839,SP1 2PB,SP1  2PB,SP1 2PB,Jan-80,0,414286,129779,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008393,Salisbury St Paul's,E92000001,England,E12000009,South West,E14000912,Salisbury,E15000009,South West,E16000140,Wiltshire,E01032022,,E02006673,,7D1,Constrained city dwellers;Ageing city dwellers;Ageing communities and families,-1.797495,51.067169,Postcode Level,04/01/2018,"(51.067169, -1.797495)",1460406,sp12pb
7055,SP7 9HD,SP7  9HD,SP7 9HD,Jan-92,0,386849,124179,1,E10000009,Dorset,E07000050,North Dorset,E05010011,Shaftesbury West,E92000001,England,E12000009,South West,E14000839,North Dorset,E15000009,South West,E16000142,Dorset,E01020456,,E02004257,,8C2,Hard-pressed living;Hard pressed ageing workers;Ageing rural industry workers,-2.188855,51.016834,Postcode Level,04/01/2018,"(51.016834, -2.188855)",1467672,sp79hd
7702,SP1 2FB,SP1  2FB,SP1 2FB,Aug-16,0,414800,129718,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008392,Salisbury St Martin's and Cathedral,E92000001,England,E12000009,South West,E14000912,Salisbury,E15000009,South West,E16000140,Wiltshire,E01032023,,E02006674,,5A3,Urbanites;Urban professionals and families;Families in terraces and flats,-1.790153,51.066601,Postcode Level,04/01/2018,"(51.066601, -1.790153)",1460345,sp12fb
8275,SP3 4DL,SP3  4DL,SP3 4DL,Jan-80,0,407147,144443,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008400,Till and Wylye Valley,E92000001,England,E12000009,South West,E14000912,Salisbury,E15000009,South West,E16000140,Wiltshire,E01032696,,E02006661,,8A1,Hard-pressed living;Industrious communities;Industrious transitions,-1.899083,51.199154,Postcode Level,04/01/2018,"(51.199154, -1.899083)",1463892,sp34dl
8440,SP101NY,SP10 1NY,SP10 1NY,Dec-01,0,436497,145426,1,E10000014,Hampshire,E07000093,Test Valley,E05004648,St Mary's,E92000001,England,E12000008,South East,E14000857,North West Hampshire,E15000008,South East,E16000133,Hampshire,E01023202,,E02004816,,2C1,Cosmopolitans;Comfortable cosmopolitan;Migrant families,-1.47893,51.206879,Postcode Level,04/01/2018,"(51.206879, -1.47893)",1460906,sp101ny
8522,SP4 7QU,SP4  7QU,SP4 7QU,Jan-80,0,417050,141133,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008329,Amesbury East,E92000001,England,E12000009,South West,E14000912,Salisbury,E15000009,South West,E16000140,Wiltshire,E01031977,,E02006663,,6B3,Suburbanites;Semi-detached suburbia;Semi-detached ageing,-1.757516,51.169189,Postcode Level,04/01/2018,"(51.169189, -1.757516)",1465080,sp47qu
8847,SP3 4UQ,SP3  4UQ,SP3 4UQ,Jan-80,0,409822,137286,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008400,Till and Wylye Valley,E92000001,England,E12000009,South West,E14000912,Salisbury,E15000009,South West,E16000140,Wiltshire,E01032027,,E02006669,,1C1,Rural residents;Ageing rural dwellers;Rural employment and retirees,-1.861001,51.134765,Postcode Level,04/01/2018,"(51.134765, -1.861001)",1464070,sp34uq
8954,SP1 1TE,SP1  1TE,SP1 1TE,Jan-80,1,414355,130018,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008393,Salisbury St Paul's,E92000001,England,E12000009,South West,E14000912,Salisbury,E15000009,South West,E16000140,Wiltshire,E01032022,,E02006673,,7D1,Constrained city dwellers;Ageing city dwellers;Ageing communities and families,-1.796501,51.069316,Postcode Level,04/01/2018,"(51.069316, -1.796501)",1460273,sp11te
8991,SP5 5LE,SP5  5LE,SP5 5LE,Jan-93,0,397632,123951,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008363,Fovant and Chalke Valley,E92000001,England,E12000009,South West,E14000954,South West Wiltshire,E15000009,South West,E16000140,Wiltshire,E01031991,,E02006676,,1C1,Rural residents;Ageing rural dwellers;Rural employment and retirees,-2.035131,51.014932,Postcode Level,04/01/2018,"(51.014932, -2.035131)",1466466,sp55le
9387,SP9 7EA,SP9  7EA,SP9 7EA,May-05,0,423129,148358,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008399,Tidworth,E92000001,England,E12000009,South West,E14000665,Devizes,E15000009,South West,E16000140,Wiltshire,E01031880,,E02006643,,5B2,Urbanites;Ageing urban living;Communal retirement,-1.670107,51.233942,Postcode Level,04/01/2018,"(51.233942, -1.670107)",1468351,sp97ea
9575,SP8 4EY,SP8  4EY,SP8 4EY,Jan-80,0,380536,127335,1,E10000009,Dorset,E07000050,North Dorset,E05010004,Gillingham Town,E92000001,England,E12000009,South West,E14000839,North Dorset,E15000009,South West,E16000142,Dorset,E01020450,,E02004256,,5B3,Urbanites;Ageing urban living;Self-sufficient retirement,-2.279017,51.045027,Postcode Level,04/01/2018,"(51.045027, -2.279017)",1467853,sp84ey
9605,SP1 1BT,SP1  1BT,SP1 1BT,Jul-95,0,414301,130054,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008389,Salisbury St Edmund and Milford,E92000001,England,E12000009,South West,E14000912,Salisbury,E15000009,South West,E16000140,Wiltshire,E01032014,,E02006671,,2C1,Cosmopolitans;Comfortable cosmopolitan;Migrant families,-1.797271,51.069641,Postcode Level,04/01/2018,"(51.069641, -1.797271)",1460125,sp11bt
9830,SP4 9RB,SP4  9RB,SP4 9RB,Oct-04,0,414257,147804,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008397,The Collingbournes and Netheravon,E92000001,England,E12000009,South West,E14000665,Devizes,E15000009,South West,E16000140,Wiltshire,E01031867,,E02006642,,1B3,Rural residents;Rural tenants;Ageing rural flat tenants,-1.797201,51.229249,Postcode Level,04/01/2018,"(51.229249, -1.797201)",1465514,sp49rb
9838,SP119QQ,SP11 9QQ,SP11 9QQ,Jan-80,0,426262,150973,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008368,Ludgershall and Perham Down,E92000001,England,E12000009,South West,E14000665,Devizes,E15000009,South West,E16000140,Wiltshire,E01031859,,E02006643,,5A3,Urbanites;Urban professionals and families;Families in terraces and flats,-1.625044,51.25732,Postcode Level,04/01/2018,"(51.25732, -1.625044)",1462912,sp119qq
9868,SP119HG,SP11 9HG,SP11 9HG,Feb-84,0,429822,153920,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008397,The Collingbournes and Netheravon,E92000001,England,E12000009,South West,E14000665,Devizes,E15000009,South West,E16000140,Wiltshire,E01031877,,E02006640,,1B2,Rural residents;Rural tenants;Rural white-collar workers,-1.573785,51.283644,Postcode Level,04/01/2018,"(51.283644, -1.573785)",1462821,sp119hg
9984,SP116GG,SP11 6GG,SP11 6GG,Feb-13,0,438762,144932,1,E10000014,Hampshire,E07000093,Test Valley,E05004648,St Mary's,E92000001,England,E12000008,South East,E14000857,North West Hampshire,E15000008,South East,E16000133,Hampshire,E01023201,,E02004816,,8A1,Hard-pressed living;Industrious communities;Industrious transitions,-1.446575,51.202292,Postcode Level,04/01/2018,"(51.202292, -1.446575)",1462100,sp116gg
